tiempo_ms,estado,ax,ay,az,gx,gy,gz,angulo
11269,CAMINANDO,-1.666,-4.523,-8.050,0.075,0.217,-0.108,29.214,9.382,0.254
11479,CAMINANDO,-1.626,-4.669,-7.987,0.327,0.243,-0.241,29.802,9.394,0.473
11689,CAMINANDO,-1.573,-4.937,-7.860,0.211,0.182,0.042,30.824,9.415,0.282
11899,CAMINANDO,-1.611,-5.038,-7.669,0.932,0.091,0.010,31.011,9.316,0.936
12109,CAMINANDO,-1.578,-6.122,-6.836,0.701,0.366,0.009,35.791,9.311,0.791
12319,CAMINANDO,-1.525,-6.414,-6.395,0.540,0.279,-0.038,38.038,9.185,0.609
12529,CAMINANDO,-1.530,-6.512,-6.328,0.066,0.240,0.028,38.532,9.209,0.251
12739,CAMINANDO,-1.544,-6.512,-6.333,0.071,0.215,0.042,38.456,9.214,0.230
12949,CAMINANDO,-1.540,-6.438,-6.366,0.034,0.250,0.038,38.129,9.184,0.255
13159,SENTADO,-1.475,-6.321,-6.500,0.018,0.256,-0.003,37.689,9.186,0.257
13369,SENTADO,-1.506,-6.359,-6.448,0.156,0.209,-0.032,37.804,9.181,0.263
13579,SENTADO,-1.513,-6.421,-6.477,0.150,0.194,-0.019,37.920,9.245,0.246
13789,SENTADO,-1.525,-6.469,-6.414,0.116,0.190,-0.006,38.185,9.237,0.223
13999,SENTADO,-1.530,-6.436,-6.378,0.087,0.228,-0.008,38.134,9.189,0.244
14209,SENTADO,-1.530,-6.455,-6.352,0.073,0.223,-0.005,38.268,9.185,0.235
14419,SENTADO,-1.508,-6.448,-6.467,0.124,0.234,-0.002,38.057,9.256,0.265
14629,SENTADO,-1.499,-6.508,-6.395,0.108,0.210,-0.016,38.486,9.246,0.237
14839,SENTADO,-1.506,-6.419,-6.410,0.092,0.230,0.001,38.107,9.195,0.248
15049,SENTADO,-1.528,-6.486,-6.364,0.118,0.219,-0.025,38.359,9.214,0.250
15259,SENTADO,-1.532,-6.505,-6.354,0.099,0.189,-0.010,38.429,9.222,0.213
15469,SENTADO,-1.525,-6.436,-6.299,0.098,0.218,-0.009,38.355,9.134,0.240
15679,SENTADO,-1.492,-6.484,-6.352,0.088,0.208,-0.010,38.543,9.198,0.226
15889,SENTADO,-1.477,-6.455,-6.381,0.094,0.220,-0.018,38.436,9.196,0.240
16099,SENTADO,-1.499,-6.503,-6.357,0.124,0.221,-0.002,38.566,9.216,0.253
16309,SENTADO,-1.518,-6.570,-6.330,0.116,0.208,0.008,38.782,9.249,0.239
16519,SENTADO,-1.535,-6.489,-6.335,0.108,0.211,-0.006,38.408,9.197,0.238
16729,SENTADO,-1.499,-6.496,-6.340,0.116,0.207,-0.006,38.583,9.200,0.237
16939,SENTADO,-1.496,-6.467,-6.326,0.084,0.231,0.004,38.529,9.169,0.246
17149,SENTADO,-1.482,-6.477,-6.374,0.089,0.231,0.013,38.507,9.207,0.248
